Season,Name,Team,IP,vFA,vFC,vFS,vSI,vCH,vSL,vCU,vCS,vKN,vSB,playerid
2009,Brad Penny,- - -,173.1,94.4,86.3,86.4,,,,78.6,,,,535
2010,Matt Garza,Rays,204.2,94.4,,,94.1,85.7,87,76.9,,,,3340
2013,Chris Sale,White Sox,214.1,94.4,,,92.9,83.5,79.2,,,,,10603
2014,Sonny Gray,Athletics,219,94.4,93,,94.1,87.5,87.5,82.4,,,,12768
2013,Justin Verlander,Tigers,218.1,94.4,,,,85.1,87.1,79.9,,,,8700
2013,Shelby Miller,Cardinals,173.1,94.4,89.9,,,85.6,,80,,,,10197
2009,Clayton Kershaw,Dodgers,171,94.4,,,,82.9,81,72.6,,,,2036
2014,Bud Norris,Orioles,165.1,94.4,90.2,,94.4,86.6,87.2,,,,,9492
2014,Shelby Miller,Cardinals,183,94.4,87.9,,94.2,86.6,,77.8,,,,10197
2017,Trevor Bauer,Indians,176.1,94.3,87.9,85.6,93.8,87.4,84.7,78.8,,,,12703
2015,Jeff Samardzija,White Sox,214,94.3,93.1,85.5,95,,85.9,,,,,3254
2013,Max Scherzer,Tigers,214.1,94.3,,,,85.7,85.9,78.8,,,,3137
2016,Justin Verlander,Tigers,227.2,94.3,89.3,,,86.1,88.6,79.4,,,,8700
2014,Edinson Volquez,Pirates,192.2,94.3,,,94.1,85.5,,80.7,,,,3990
2016,Jake Arrieta,Cubs,197.1,94.3,,,94.4,89,89.7,81.1,,,,4153
2007,Brad Penny,Dodgers,208,94.3,,85.4,,,,77.7,,,,535
2007,Miguel Batista,Mariners,193,94.3,89.1,,93.9,83.8,79.1,76.9,,,,46
2015,Clayton Kershaw,Dodgers,232.2,94.3,,,,88.4,88.6,74.1,,,,2036
2016,Edinson Volquez,Royals,189.1,94.3,,,94,84.1,,80.7,,,,3990
2012,Edwin Jackson,Nationals,189.2,94.3,93,,93.9,87,86.4,79.8,,,,1841
2014,David Price,- - -,248.1,94.3,87.9,,94.2,85.8,,80.4,,,,3184
2017,Max Scherzer,Nationals,200.2,94.3,88.3,,,84.9,86,77.7,,,,3137
2015,Jimmy Nelson,Brewers,177.1,94.3,,,94.3,86.2,87.9,83.6,,,,10547
2008,Matt Garza,Rays,184.2,94.2,,,93.9,85.8,86.1,76.6,,,,3340
2009,Max Scherzer,Diamondbacks,170.1,94.2,,,,84.9,85.4,,,,,3137
2012,Gio Gonzalez,Nationals,199.1,94.2,,,93.4,85.5,,80.5,,,,7448
2017,Marcus Stroman,Blue Jays,201,94.2,90.6,,93.7,82.9,86.9,82.7,,,,13431
2016,Carlos Rodon,White Sox,165,94.2,,,93.7,84.1,87.2,,,,,16137
2008,Johnny Cueto,Reds,174,94.2,,,93.3,85.2,85.8,,,,,6893
2009,Matt Garza,Rays,203,94.2,,,93.6,84.4,86.3,76.2,,,,3340
2011,Clayton Kershaw,Dodgers,233.1,94.2,,,,83.3,84.5,74.7,,,,2036
2011,Ubaldo Jimenez,- - -,188.1,94.2,91,86.6,93.8,,83.6,76.5,,,,3374
2014,Brandon McCarthy,- - -,200,94.2,92.1,,93.7,88,,82.2,,,,4662
2017,Andrew Cashner,Rangers,166.2,94.2,88.7,,93.2,85.3,,82,,,,8782
2013,Anibal Sanchez,Tigers,182,94.2,,,94,86.6,87,80.3,,,,3284
2010,A.J. Burnett,Yankees,186.2,94.2,,,94.2,89.4,,83.2,,,,512
2018,Mike Clevinger,Indians,200,94.2,,,,88.1,79.9,75.9,,,,12808
